"sourcePath","sourceSha256","sourceCategory","importPath","targetRuntimePath","status","calComTests","nerovaTests","featureFlag","licenseMarkers","notes"
".github/workflows/cleanup-report.yml","8d218a6e0c072997b109679fcf21ba324696090a4bcdfdacaba8fdca323af3e2","ci","application/main/CalCom/.github/workflows/cleanup-report.yml","","imported","","","cal-com-workflows","","Initial full-source import; runtime adaptation pending."
".github/workflows/cleanup.yml","b58fae9aaae46d70965513869b588671bd83fab7bb58034cfff32f3b176d363f","ci","application/main/CalCom/.github/workflows/cleanup.yml","","imported","","","cal-com-workflows","","Initial full-source import; runtime adaptation pending."
".github/workflows/cron-bookingReminder.yml","32cdbdcb2cdf1f620c1bd86f4d5078dea8347c51636f5ca407cc88004e3796b4","ci","application/main/CalCom/.github/workflows/cron-bookingReminder.yml","","imported","","","cal-com-workflows","","Initial full-source import; runtime adaptation pending."
".github/workflows/cron-changeTimeZone.yml","6e513d1be78251ab328a5852c914e31112cab5fc8dc9379e56045fffc377ac95","ci","application/main/CalCom/.github/workflows/cron-changeTimeZone.yml","","imported","","","cal-com-workflows","","Initial full-source import; runtime adaptation pending."
".github/workflows/cron-checkSmsPrices.yml","3b9251acedde83becb48ab8e05d2e1a5dce8081825f023aab052d7926187c9c0","ci","application/main/CalCom/.github/workflows/cron-checkSmsPrices.yml","","imported","","","cal-com-workflows","","Initial full-source import; runtime adaptation pending."
".github/workflows/cron-downgradeUsers.yml","c47e3dd02bb9b8d584290c93777e9e9521b33c5640e82742c4cbdbec4d7585d1","ci","application/main/CalCom/.github/workflows/cron-downgradeUsers.yml","","imported","","","cal-com-workflows","","Initial full-source import; runtime adaptation pending."
".github/workflows/cron-monthlyDigestEmail.yml","75058e063a4e5b76dad9e5c60c46598d2aba31c3d7d947411213e86e6d288602","ci","application/main/CalCom/.github/workflows/cron-monthlyDigestEmail.yml","","imported","","","cal-com-workflows","","Initial full-source import; runtime adaptation pending."
".github/workflows/cron-scheduleEmailReminders.yml","6a9968f3df1dc17091287e3b2619407cf89ee9eb8c919295d2a32974b2d2bcde","ci","application/main/CalCom/.github/workflows/cron-scheduleEmailReminders.yml","","imported","","","cal-com-workflows","","Initial full-source import; runtime adaptation pending."
".github/workflows/cron-scheduleSMSReminders.yml","2cd3b0259eaa55cdfcc853d206e1486fb181035f1366b00e7cb92a9f869317ac","ci","application/main/CalCom/.github/workflows/cron-scheduleSMSReminders.yml","","imported","","","cal-com-workflows","","Initial full-source import; runtime adaptation pending."
".github/workflows/cron-scheduleWhatsappReminders.yml","25abab866eeb5852004fa34f174bc90f5e2c950123ba34cd9d344558d449680c","ci","application/main/CalCom/.github/workflows/cron-scheduleWhatsappReminders.yml","","imported","","","cal-com-workflows","","Initial full-source import; runtime adaptation pending."
